Target,BUG,n_Baseline,Found_Baseline,Med_Baseline,IQR_Baseline,n_Exp,Found_Exp,Med_Exp,IQR_Exp,Raw_p,Adj_p,Significant,Adj_p_by_target,Significant_by_target
cln,dns_overflow,20,20,201,104-355,20,20,6887,3001-22451,8.985719593566246e-12,9.884291552922871e-11,True,3.5942878374264984e-11,True
cln,malformed_cannounce,20,20,107,10-211,20,20,3,2-3,1.937440725160094e-11,9.884291552922871e-11,True,3.5942878374264984e-11,True
cln,openchannel_assert,20,0,Not Reached,Not Reached,20,20,15061,9300-19898,8.98571959356641e-12,9.884291552922871e-11,True,3.5942878374264984e-11,True
cln,send_tlvs,20,0,Not Reached,Not Reached,20,20,314,146-373,8.98571959356641e-12,9.884291552922871e-11,True,3.5942878374264984e-11,True
eclair,decode_drop,20,20,3,2-3,20,20,1,1-3,0.18701906796225629,0.18701906796225629,False,0.18701906796225629,False
eclair,pubkey_exception,20,20,81,23-143,20,0,Not Reached,Not Reached,8.985719593566246e-12,9.884291552922871e-11,True,2.695715878069874e-11,True
eclair,unknown_message,20,20,86,76-109,20,20,2,1-3,8.985719593566246e-12,9.884291552922871e-11,True,2.695715878069874e-11,True
ldk,reachable_unwrap,20,0,Not Reached,Not Reached,20,20,78,36-97,8.98571959356641e-12,9.884291552922871e-11,True,8.98571959356641e-12,True
lnd,gossiper_deadlock,20,20,174,90-603,20,20,5,1-8,8.985719593566246e-12,9.884291552922871e-11,True,2.695715878069874e-11,True
lnd,malformed_tlv,20,20,48,19-83,20,0,Not Reached,Not Reached,8.985719593566246e-12,9.884291552922871e-11,True,2.695715878069874e-11,True
lnd,zero_timestamp,20,0,Not Reached,Not Reached,20,20,1805,1034-2168,8.98571959356641e-12,9.884291552922871e-11,True,2.695715878069874e-11,True
