target,bug,config,trial,tte_seconds,censored
cln,malformed_cannounce,encrypted_bytes,2,10.352,False
cln,malformed_cannounce,encrypted_bytes,6,4.51,False
cln,malformed_cannounce,encrypted_bytes,7,4.369,False
cln,malformed_cannounce,encrypted_bytes,8,14.553,False
cln,malformed_cannounce,encrypted_bytes,10,68.676,False
cln,malformed_cannounce,encrypted_bytes,1,144.778,False
cln,malformed_cannounce,encrypted_bytes,9,146.275,False
cln,malformed_cannounce,encrypted_bytes,5,217.862,False
cln,malformed_cannounce,encrypted_bytes,4,242.899,False
cln,malformed_cannounce,encrypted_bytes,3,258.929,False
cln,malformed_cannounce,encrypted_bytes,12,9.11,False
cln,malformed_cannounce,encrypted_bytes,16,3.788,False
cln,malformed_cannounce,encrypted_bytes,17,5.112,False
cln,malformed_cannounce,encrypted_bytes,18,11.933,False
cln,malformed_cannounce,encrypted_bytes,20,54.941,False
cln,malformed_cannounce,encrypted_bytes,11,160.704,False
cln,malformed_cannounce,encrypted_bytes,19,174.067,False
cln,malformed_cannounce,encrypted_bytes,15,250.541,False
cln,malformed_cannounce,encrypted_bytes,14,208.893,False
cln,malformed_cannounce,encrypted_bytes,13,292.59,False
cln,dns_overflow,encrypted_bytes,3,87.664,False
cln,dns_overflow,encrypted_bytes,9,79.955,False
cln,dns_overflow,encrypted_bytes,4,105.879,False
cln,dns_overflow,encrypted_bytes,7,112.334,False
cln,dns_overflow,encrypted_bytes,8,178.406,False
cln,dns_overflow,encrypted_bytes,1,223.099,False
cln,dns_overflow,encrypted_bytes,6,351.089,False
cln,dns_overflow,encrypted_bytes,2,407.462,False
cln,dns_overflow,encrypted_bytes,10,442.483,False
cln,dns_overflow,encrypted_bytes,5,518.991,False
cln,dns_overflow,encrypted_bytes,13,99.06,False
cln,dns_overflow,encrypted_bytes,19,95.146,False
cln,dns_overflow,encrypted_bytes,14,91.056,False
cln,dns_overflow,encrypted_bytes,17,131.431,False
cln,dns_overflow,encrypted_bytes,18,146.293,False
cln,dns_overflow,encrypted_bytes,11,247.64,False
cln,dns_overflow,encrypted_bytes,16,294.915,False
cln,dns_overflow,encrypted_bytes,12,358.567,False
cln,dns_overflow,encrypted_bytes,20,353.986,False
cln,dns_overflow,encrypted_bytes,15,596.84,False
eclair,decode_drop,encrypted_bytes,1,3.977,False
eclair,decode_drop,encrypted_bytes,2,1.296,False
eclair,decode_drop,encrypted_bytes,3,2.987,False
eclair,decode_drop,encrypted_bytes,4,3.196,False
eclair,decode_drop,encrypted_bytes,5,2.087,False
eclair,decode_drop,encrypted_bytes,6,1.474,False
eclair,decode_drop,encrypted_bytes,7,1.744,False
eclair,decode_drop,encrypted_bytes,8,3.928,False
eclair,decode_drop,encrypted_bytes,9,2.695,False
eclair,decode_drop,encrypted_bytes,10,2.205,False
eclair,decode_drop,encrypted_bytes,11,4.414,False
eclair,decode_drop,encrypted_bytes,12,1.14,False
eclair,decode_drop,encrypted_bytes,13,3.375,False
eclair,decode_drop,encrypted_bytes,14,2.749,False
eclair,decode_drop,encrypted_bytes,15,2.4,False
eclair,decode_drop,encrypted_bytes,16,1.238,False
eclair,decode_drop,encrypted_bytes,17,2.04,False
eclair,decode_drop,encrypted_bytes,18,3.221,False
eclair,decode_drop,encrypted_bytes,19,3.207,False
eclair,decode_drop,encrypted_bytes,20,1.764,False
cln,early_cupdate,encrypted_bytes,7,,True
cln,early_cupdate,encrypted_bytes,2,,True
cln,early_cupdate,encrypted_bytes,1,,True
cln,early_cupdate,encrypted_bytes,5,,True
cln,early_cupdate,encrypted_bytes,10,,True
cln,early_cupdate,encrypted_bytes,6,,True
cln,early_cupdate,encrypted_bytes,8,,True
cln,early_cupdate,encrypted_bytes,9,,True
cln,early_cupdate,encrypted_bytes,3,,True
cln,early_cupdate,encrypted_bytes,4,,True
cln,early_cupdate,encrypted_bytes,17,,True
cln,early_cupdate,encrypted_bytes,12,,True
cln,early_cupdate,encrypted_bytes,11,,True
cln,early_cupdate,encrypted_bytes,15,,True
cln,early_cupdate,encrypted_bytes,20,,True
cln,early_cupdate,encrypted_bytes,16,,True
cln,early_cupdate,encrypted_bytes,18,,True
cln,early_cupdate,encrypted_bytes,19,,True
cln,early_cupdate,encrypted_bytes,13,,True
cln,early_cupdate,encrypted_bytes,14,,True
cln,openchannel_assert,encrypted_bytes,5,,True
cln,openchannel_assert,encrypted_bytes,1,,True
cln,openchannel_assert,encrypted_bytes,2,,True
cln,openchannel_assert,encrypted_bytes,8,,True
cln,openchannel_assert,encrypted_bytes,9,,True
cln,openchannel_assert,encrypted_bytes,4,,True
cln,openchannel_assert,encrypted_bytes,10,,True
